source_property,nde_property
description,description
name,name
name,url
pmid,citation
identifiers,sameAs
pulls,interactionStatistic
tool_tags,keywords
tool_url,"codeRepository, mainEntityOfPage"
toolclass,applicationCategory
updated,"datePublished, dateModified"
