source_property,nde_property
type,applicationCategory
id,_id
discussion_links,discussionUrl
title,name
license,license
description,description
latest_version,softwareVersion
tags,keywords
versions,codeRepository
created_at,dateCreated
updated_at,dateModified
doi,doi
creators,author
workflow_class,programmingLanguage
edam_operations,featureList
edam_topics,applicationSubCategory
internals,input
outputs,output
links,url
