source_property,nde_property
toolname,identifier
aliases,doi
author,author
organization,affiliation
description,description
id,url
meta_version,datePublished
toolclass,applicationCategory
toolname,name
versions.meta_version,dateModified
versions.name,softwareVersion
versions.descriptor_type,programmingLanguage
